id,initial_charge,output_targets,neuron_type,rules
91,0,"[4462, -4461, 4436, -4435, -5138, 5137, -5112, 5111, -5814, -5813, 5788, 5787, 6490, 6489, -6464, -6463, -7166, 7165, 7140, -7139, 7842, -7841, -7816, 7815]",0,"[0,1,1,1,0]"
92,0,"[4463, -4462, 4437, -4436, -5139, 5138, -5113, 5112, -5815, -5814, 5789, 5788, 6491, 6490, -6465, -6464, -7167, 7166, 7141, -7140, 7843, -7842, -7817, 7816]",0,"[0,1,1,1,0]"
93,0,"[4464, -4463, 4438, -4437, -5140, 5139, -5114, 5113, -5816, -5815, 5790, 5789, 6492, 6491, -6466, -6465, -7168, 7167, 7142, -7141, 7844, -7843, -7818, 7817]",0,"[0,1,1,1,0]"
94,0,"[4465, -4464, 4439, -4438, -5141, 5140, -5115, 5114, -5817, -5816, 5791, 5790, 6493, 6492, -6467, -6466, -7169, 7168, 7143, -7142, 7845, -7844, -7819, 7818]",0,"[0,1,1,1,0]"
95,0,"[4466, -4465, 4440, -4439, -5142, 5141, -5116, 5115, -5818, -5817, 5792, 5791, 6494, 6493, -6468, -6467, -7170, 7169, 7144, -7143, 7846, -7845, -7820, 7819]",0,"[0,1,1,1,0]"
96,0,"[4467, -4466, 4441, -4440, -5143, 5142, -5117, 5116, -5819, -5818, 5793, 5792, 6495, 6494, -6469, -6468, -7171, 7170, 7145, -7144, 7847, -7846, -7821, 7820]",0,"[0,1,1,1,0]"
97,0,"[4468, -4467, 4442, -4441, -5144, 5143, -5118, 5117, -5820, -5819, 5794, 5793, 6496, 6495, -6470, -6469, -7172, 7171, 7146, -7145, 7848, -7847, -7822, 7821]",0,"[0,1,1,1,0]"
98,0,"[4469, -4468, 4443, -4442, -5145, 5144, -5119, 5118, -5821, -5820, 5795, 5794, 6497, 6496, -6471, -6470, -7173, 7172, 7147, -7146, 7849, -7848, -7823, 7822]",0,"[0,1,1,1,0]"
99,0,"[4470, -4469, 4444, -4443, -5146, 5145, -5120, 5119, -5822, -5821, 5796, 5795, 6498, 6497, -6472, -6471, -7174, 7173, 7148, -7147, 7850, -7849, -7824, 7823]",0,"[0,1,1,1,0]"
100,0,"[4471, -4470, 4445, -4444, -5147, 5146, -5121, 5120, -5823, -5822, 5797, 5796, 6499, 6498, -6473, -6472, -7175, 7174, 7149, -7148, 7851, -7850, -7825, 7824]",0,"[0,1,1,1,0]"
101,0,"[4472, -4471, 4446, -4445, -5148, 5147, -5122, 5121, -5824, -5823, 5798, 5797, 6500, 6499, -6474, -6473, -7176, 7175, 7150, -7149, 7852, -7851, -7826, 7825]",0,"[0,1,1,1,0]"
102,0,"[4473, -4472, 4447, -4446, -5149, 5148, -5123, 5122, -5825, -5824, 5799, 5798, 6501, 6500, -6475, -6474, -7177, 7176, 7151, -7150, 7853, -7852, -7827, 7826]",0,"[0,1,1,1,0]"
103,0,"[4474, -4473, 4448, -4447, -5150, 5149, -5124, 5123, -5826, -5825, 5800, 5799, 6502, 6501, -6476, -6475, -7178, 7177, 7152, -7151, 7854, -7853, -7828, 7827]",0,"[0,1,1,1,0]"
104,0,"[4475, -4474, 4449, -4448, -5151, 5150, -5125, 5124, -5827, -5826, 5801, 5800, 6503, 6502, -6477, -6476, -7179, 7178, 7153, -7152, 7855, -7854, -7829, 7828]",0,"[0,1,1,1,0]"
105,0,"[4476, -4475, 4450, -4449, -5152, 5151, -5126, 5125, -5828, -5827, 5802, 5801, 6504, 6503, -6478, -6477, -7180, 7179, 7154, -7153, 7856, -7855, -7830, 7829]",0,"[0,1,1,1,0]"
106,0,"[4477, -4476, 4451, -4450, -5153, 5152, -5127, 5126, -5829, -5828, 5803, 5802, 6505, 6504, -6479, -6478, -7181, 7180, 7155, -7154, 7857, -7856, -7831, 7830]",0,"[0,1,1,1,0]"
107,0,"[-4477, -4451, 5153, 5127, -5829, 5803, 6505, -6479, 7181, -7155, -7857, 7831]",0,"[0,1,1,1,0]"
108,0,"[4478, 4452, -5154, -5128, -5830, 5804, 6506, -6480, -7182, 7156, 7858, -7832]",0,"[0,1,1,1,0]"
109,0,"[4479, -4478, 4453, -4452, -5155, 5154, -5129, 5128, -5831, -5830, 5805, 5804, 6507, 6506, -6481, -6480, -7183, 7182, 7157, -7156, 7859, -7858, -7833, 7832]",0,"[0,1,1,1,0]"
110,0,"[4480, -4479, 4454, -4453, -5156, 5155, -5130, 5129, -5832, -5831, 5806, 5805, 6508, 6507, -6482, -6481, -7184, 7183, 7158, -7157, 7860, -7859, -7834, 7833]",0,"[0,1,1,1,0]"
111,0,"[4481, -4480, 4455, -4454, -5157, 5156, -5131, 5130, -5833, -5832, 5807, 5806, 6509, 6508, -6483, -6482, -7185, 7184, 7159, -7158, 7861, -7860, -7835, 7834]",0,"[0,1,1,1,0]"
112,0,"[4482, -4481, 4456, -4455, -5158, 5157, -5132, 5131, -5834, -5833, 5808, 5807, 6510, 6509, -6484, -6483, -7186, 7185, 7160, -7159, 7862, -7861, -7836, 7835]",0,"[0,1,1,1,0]"
113,0,"[4483, -4482, 4457, -4456, -5159, 5158, -5133, 5132, -5835, -5834, 5809, 5808, 6511, 6510, -6485, -6484, -7187, 7186, 7161, -7160, 7863, -7862, -7837, 7836]",0,"[0,1,1,1,0]"
114,0,"[4484, -4483, 4458, -4457, -5160, 5159, -5134, 5133, -5836, -5835, 5810, 5809, 6512, 6511, -6486, -6485, -7188, 7187, 7162, -7161, 7864, -7863, -7838, 7837]",0,"[0,1,1,1,0]"
115,0,"[4485, -4484, 4459, -4458, -5161, 5160, -5135, 5134, -5837, -5836, 5811, 5810, 6513, 6512, -6487, -6486, -7189, 7188, 7163, -7162, 7865, -7864, -7839, 7838]",0,"[0,1,1,1,0]"
116,0,"[4486, -4485, 4460, -4459, -5162, 5161, -5136, 5135, -5838, -5837, 5812, 5811, 6514, 6513, -6488, -6487, -7190, 7189, 7164, -7163, 7866, -7865, -7840, 7839]",0,"[0,1,1,1,0]"
117,0,"[4487, -4486, 4461, -4460, -5163, 5162, -5137, 5136, -5839, -5838, 5813, 5812, 6515, 6514, -6489, -6488, -7191, 7190, 7165, -7164, 7867, -7866, -7841, 7840]",0,"[0,1,1,1,0]"
118,0,"[4488, -4487, 4462, -4461, -5164, 5163, -5138, 5137, -5840, -5839, 5814, 5813, 6516, 6515, -6490, -6489, -7192, 7191, 7166, -7165, 7868, -7867, -7842, 7841]",0,"[0,1,1,1,0]"
119,0,"[4489, -4488, 4463, -4462, -5165, 5164, -5139, 5138, -5841, -5840, 5815, 5814, 6517, 6516, -6491, -6490, -7193, 7192, 7167, -7166, 7869, -7868, -7843, 7842]",0,"[0,1,1,1,0]"
120,0,"[4490, -4489, 4464, -4463, -5166, 5165, -5140, 5139, -5842, -5841, 5816, 5815, 6518, 6517, -6492, -6491, -7194, 7193, 7168, -7167, 7870, -7869, -7844, 7843]",0,"[0,1,1,1,0]"
121,0,"[4491, -4490, 4465, -4464, -5167, 5166, -5141, 5140, -5843, -5842, 5817, 5816, 6519, 6518, -6493, -6492, -7195, 7194, 7169, -7168, 7871, -7870, -7845, 7844]",0,"[0,1,1,1,0]"
122,0,"[4492, -4491, 4466, -4465, -5168, 5167, -5142, 5141, -5844, -5843, 5818, 5817, 6520, 6519, -6494, -6493, -7196, 7195, 7170, -7169, 7872, -7871, -7846, 7845]",0,"[0,1,1,1,0]"
123,0,"[4493, -4492, 4467, -4466, -5169, 5168, -5143, 5142, -5845, -5844, 5819, 5818, 6521, 6520, -6495, -6494, -7197, 7196, 7171, -7170, 7873, -7872, -7847, 7846]",0,"[0,1,1,1,0]"
124,0,"[4494, -4493, 4468, -4467, -5170, 5169, -5144, 5143, -5846, -5845, 5820, 5819, 6522, 6521, -6496, -6495, -7198, 7197, 7172, -7171, 7874, -7873, -7848, 7847]",0,"[0,1,1,1,0]"
125,0,"[4495, -4494, 4469, -4468, -5171, 5170, -5145, 5144, -5847, -5846, 5821, 5820, 6523, 6522, -6497, -6496, -7199, 7198, 7173, -7172, 7875, -7874, -7849, 7848]",0,"[0,1,1,1,0]"
126,0,"[4496, -4495, 4470, -4469, -5172, 5171, -5146, 5145, -5848, -5847, 5822, 5821, 6524, 6523, -6498, -6497, -7200, 7199, 7174, -7173, 7876, -7875, -7850, 7849]",0,"[0,1,1,1,0]"
127,0,"[4497, -4496, 4471, -4470, -5173, 5172, -5147, 5146, -5849, -5848, 5823, 5822, 6525, 6524, -6499, -6498, -7201, 7200, 7175, -7174, 7877, -7876, -7851, 7850]",0,"[0,1,1,1,0]"
128,0,"[4498, -4497, 4472, -4471, -5174, 5173, -5148, 5147, -5850, -5849, 5824, 5823, 6526, 6525, -6500, -6499, -7202, 7201, 7176, -7175, 7878, -7877, -7852, 7851]",0,"[0,1,1,1,0]"
129,0,"[4499, -4498, 4473, -4472, -5175, 5174, -5149, 5148, -5851, -5850, 5825, 5824, 6527, 6526, -6501, -6500, -7203, 7202, 7177, -7176, 7879, -7878, -7853, 7852]",0,"[0,1,1,1,0]"
130,0,"[4500, -4499, 4474, -4473, -5176, 5175, -5150, 5149, -5852, -5851, 5826, 5825, 6528, 6527, -6502, -6501, -7204, 7203, 7178, -7177, 7880, -7879, -7854, 7853]",0,"[0,1,1,1,0]"
